,DateTime,currency,event,actual,previous,Close_5min_before,Close_at_release,Close_5min_after,Close_24h_after,Close_48h_after,price_change_5min,Price_Change_24h,Price_Change_48h,Direction_5min,Direction_24h,Direction_48h,news_change,news_change_Percentage,Currency_Code,Time,Day,Month,Year,Move_before_release,Move_after_release
0,2024-01-02 14:45:00,USD,Final Manufacturing PMI,47.9,48.2,141.939,141.947,141.99,143.252,144.581,0.043000000000006366,1.3050000000000068,2.633999999999986,Bullish,Bullish,Bullish,-0.30000000000000426,-0.6224066390041582,1,14:45,1,1,2024,0.008000000000009777,0.043000000000006366
1,2024-01-02 15:00:00,USD,Construction Spending m/m,0.4%,1.2%,141.982,141.952,141.958,143.258,144.567,0.006000000000000227,1.3060000000000116,2.615000000000009,Bullish,Bullish,Bullish,-0.7999999999999999,-66.66666666666666,1,15:00,1,1,2024,-0.030000000000001137,0.006000000000000227
2,2024-01-03 15:00:00,USD,ISM Manufacturing PMI,47.4,46.7,143.3,143.258,143.167,144.567,144.668,-0.09100000000000819,1.3089999999999975,1.4099999999999966,Bearish,Bullish,Bullish,0.6999999999999957,1.4989293361884277,1,15:00,2,1,2024,-0.04200000000000159,-0.09100000000000819
3,2024-01-04 00:30:00,JPY,Final Manufacturing PMI,47.9,47.7,143.617,143.64,143.824,144.674,144.424,0.18400000000002592,1.0340000000000202,0.7840000000000202,Bullish,Bullish,Bullish,0.19999999999999574,0.4192872117400329,0,00:30,3,1,2024,0.022999999999996135,0.18400000000002592
4,2024-01-04 12:30:00,USD,Challenger Job Cuts y/y,-20.2%,-40.8%,144.563,144.615,144.647,144.77,143.921,0.031999999999982265,0.15500000000000114,-0.6940000000000168,Bullish,Bullish,Bearish,20.599999999999998,50.49019607843137,1,12:30,3,1,2024,0.05200000000002092,0.031999999999982265
5,2024-01-04 13:15:00,USD,ADP Non-Farm Employment Change,164K,101K,144.598,144.642,144.69,144.817,144.065,0.04800000000000182,0.17500000000001137,-0.5769999999999982,Bullish,Bullish,Bearish,63000.0,62.37623762376238,1,13:15,3,1,2024,0.04399999999998272,0.04800000000000182
6,2024-01-04 13:30:00,USD,Unemployment Claims,202K,220K,144.628,144.618,144.579,144.808,144.105,-0.03899999999998727,0.18999999999999773,-0.5130000000000052,Bearish,Bullish,Bearish,-18000.0,-8.181818181818182,1,13:30,3,1,2024,-0.009999999999990905,-0.03899999999998727
7,2024-01-04 14:45:00,USD,Final Services PMI,51.4,51.3,144.598,144.581,144.515,144.636,144.126,-0.0660000000000025,0.05500000000000682,-0.4549999999999841,Bearish,Bullish,Bearish,0.10000000000000142,0.1949317738791451,1,14:45,3,1,2024,-0.01700000000002433,-0.0660000000000025
8,2024-01-04 15:30:00,USD,Natural Gas Storage,-14B,-87B,144.566,144.578,144.566,144.673,144.206,-0.012000000000000455,0.09499999999999886,-0.3720000000000141,Bearish,Bullish,Bearish,73000000000.0,83.9080459770115,1,15:30,3,1,2024,0.012000000000000455,-0.012000000000000455
9,2024-01-04 16:00:00,USD,Crude Oil Inventories,-5.5M,-7.1M,144.585,144.609,144.593,144.763,144.135,-0.016000000000019554,0.15399999999999636,-0.47400000000001796,Bearish,Bullish,Bearish,1600000.0,22.535211267605636,1,16:00,3,1,2024,0.02400000000000091,-0.016000000000019554
10,2024-01-04 23:50:00,JPY,Monetary Base y/y,7.8%,8.9%,144.841,144.858,144.832,144.832,144.431,-0.02600000000001046,-0.02600000000001046,-0.4269999999999925,Bearish,Bearish,Bearish,-1.1000000000000005,-12.359550561797757,0,23:50,3,1,2024,0.016999999999995907,-0.02600000000001046
11,2024-01-05 05:00:00,JPY,Consumer Confidence,37.2,36.1,145.155,145.198,145.254,145.254,144.228,0.055999999999983174,0.055999999999983174,-0.9699999999999989,Bullish,Bullish,Bearish,1.1000000000000014,3.047091412742386,0,05:00,4,1,2024,0.043000000000006366,0.055999999999983174
12,2024-01-08 20:00:00,USD,Consumer Credit m/m,23.8B,5.8B,143.865,143.924,143.832,144.545,145.462,-0.09200000000001296,0.6209999999999809,1.5379999999999825,Bearish,Bullish,Bullish,18000000000.0,310.3448275862069,1,20:00,0,1,2024,0.0589999999999975,-0.09200000000001296
13,2024-01-08 23:30:00,JPY,Tokyo Core CPI y/y,2.1%,2.3%,143.605,143.634,143.664,144.809,145.362,0.030000000000001137,1.1750000000000114,1.7280000000000086,Bullish,Bullish,Bullish,-0.19999999999999973,-8.695652173913032,0,23:30,0,1,2024,0.028999999999996362,0.030000000000001137
