day,month,year,date,time,currency,impact,event,actual,forecast,previous
,,2024,MonApr 1,2:00pm,USD,,ISM Manufacturing PMI,50.3,48.5,47.8
,,2024,MonApr 1,,USD,,ISM Manufacturing Prices,55.8,53.3,52.5
,,2024,MonApr 1,,USD,,Construction Spending m/m,-0.3%,0.7%,-0.2%
,,2024,MonApr 1,10:50pm,USD,,FOMC Member Cook Speaks,,,
,,2024,MonApr 1,11:50pm,JPY,,Monetary Base y/y,1.6%,2.5%,2.4%
,,2024,TueApr 2,3:35am,JPY,,10-y Bond Auction,0.75|3.8,,0.72|3.2
,,2024,TueApr 2,2:00pm,USD,,JOLTS Job Openings,8.76M,8.76M,8.75M
,,2024,TueApr 2,,USD,,Factory Orders m/m,1.4%,1.1%,-3.8%
,,2024,TueApr 2,2:10pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,TueApr 2,All Day,USD,,Omdia Total Vehicle Sales,15.5M,15.9M,15.8M
,,2024,TueApr 2,4:00pm,USD,,FOMC Member Williams Speaks,,,
,,2024,TueApr 2,4:05pm,USD,,FOMC Member Mester Speaks,,,
,,2024,TueApr 2,5:30pm,USD,,FOMC Member Daly Speaks,,,
,,2024,TueApr 2,8:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedApr 3,12:15pm,USD,,ADP Non-Farm Employment Change,184K,148K,155K
,,2024,WedApr 3,12:30pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,WedApr 3,1:45pm,USD,,Final Services PMI,51.7,51.7,51.7
,,2024,WedApr 3,,USD,,FOMC Member Bowman Speaks,,,
,,2024,WedApr 3,2:00pm,USD,,ISM Services PMI,51.4,52.8,52.6
,,2024,WedApr 3,2:30pm,USD,,Crude Oil Inventories,3.2M,-0.3M,3.2M
,,2024,WedApr 3,4:10pm,USD,,FOMC Member Powell Speaks,,,
,,2024,WedApr 3,5:10pm,USD,,FOMC Member Barr Speaks,,,
,,2024,WedApr 3,8:30pm,USD,,FOMC Member Kugler Speaks,,,
,,2024,ThuApr 4,3:35am,JPY,,30-y Bond Auction,1.81|3.5,,1.77|2.9
,,2024,ThuApr 4,,USD,,Challenger Job Cuts y/y,0.7%,,8.8%
,,2024,ThuApr 4,,USD,,Unemployment Claims,221K,213K,212K
,,2024,ThuApr 4,,USD,,Trade Balance,-68.9B,-66.9B,-67.6B
,,2024,ThuApr 4,2:30pm,USD,,Natural Gas Storage,-37B,-42B,-36B
,,2024,ThuApr 4,4:15pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,ThuApr 4,6:00pm,USD,,FOMC Member Mester Speaks,,,
,,2024,ThuApr 4,11:30pm,JPY,,Household Spending y/y,-0.5%,-2.8%,-6.3%
,,2024,ThuApr 4,,USD,,FOMC Member Kugler Speaks,,,
,,2024,FriApr 5,5:00am,JPY,,Leading Indicators,111.8%,111.6%,109.5%
,,2024,FriApr 5,,USD,,Average Hourly Earnings m/m,0.3%,0.3%,0.2%
,,2024,FriApr 5,,USD,,Non-Farm Employment Change,303K,212K,270K
,,2024,FriApr 5,,USD,,Unemployment Rate,3.8%,3.9%,3.9%
,,2024,FriApr 5,1:15pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,FriApr 5,4:30pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,FriApr 5,7:00pm,USD,,Consumer Credit m/m,14.1B,16.2B,17.7B
,,2024,SunApr 7,11:30pm,JPY,,Average Cash Earnings y/y,1.8%,1.8%,1.5%
,,2024,SunApr 7,11:50pm,JPY,,Current Account,1.37T,1.99T,2.75T
,,2024,MonApr 8,5:00am,JPY,,Economy Watchers Sentiment,49.8,51.6,51.3
,,2024,TueApr 9,5:00am,JPY,,Consumer Confidence,39.5,39.6,39.1
,,2024,TueApr 9,5:58am,JPY,,Prelim Machine Tool Orders y/y,-3.8%,,-8.0%
,,2024,TueApr 9,10:00am,USD,,NFIB Small Business Index,88.5,88.8,89.4
,,2024,TueApr 9,2:06pm,USD,,RCM/TIPP Economic Optimism,43.2,44.2,43.5
,,2024,TueApr 9,8:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,TueApr 9,11:50pm,JPY,,Bank Lending y/y,3.2%,3.1%,3.0%
,,2024,TueApr 9,,JPY,,PPI y/y,0.8%,0.8%,0.7%
,,2024,WedApr 10,,USD,,Core CPI m/m,0.4%,0.3%,0.4%
,,2024,WedApr 10,,USD,,Core CPI y/y,3.8%,3.7%,3.8%
,,2024,WedApr 10,,USD,,CPI m/m,0.4%,0.3%,0.4%
,,2024,WedApr 10,,USD,,CPI y/y,3.5%,3.4%,3.2%
,,2024,WedApr 10,12:45pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,WedApr 10,2:00pm,USD,,Final Wholesale Inventories m/m,0.5%,0.5%,0.5%
,,2024,WedApr 10,,USD,,Crude Oil Inventories,5.8M,0.9M,3.2M
,,2024,WedApr 10,4:45pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,WedApr 10,5:01pm,USD,,10-y Bond Auction,4.56|2.3,,4.17|2.5
,,2024,WedApr 10,6:00pm,USD,,FOMC Meeting Minutes,,,
,,2024,WedApr 10,,USD,,Federal Budget Balance,-236.5B,-209.4B,-296.3B
,,2024,WedApr 10,11:50pm,JPY,,M2 Money Stock y/y,2.5%,2.4%,2.4%
,,2024,ThuApr 11,12:30pm,USD,,Core PPI m/m,0.2%,0.2%,0.3%
,,2024,ThuApr 11,,USD,,PPI m/m,0.2%,0.3%,0.6%
,,2024,ThuApr 11,,USD,,Unemployment Claims,211K,216K,222k
,,2024,ThuApr 11,,USD,,FOMC Member Williams Speaks,,,
,,2024,ThuApr 11,2:00pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,ThuApr 11,2:30pm,USD,,Natural Gas Storage,24B,14B,-37B
,,2024,ThuApr 11,5:01pm,USD,,30-y Bond Auction,4.67|2.4,,4.33|2.5
,,2024,ThuApr 11,5:30pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,FriApr 12,4:30am,JPY,,Revised Industrial Production m/m,-0.6%,-0.1%,-0.1%
,,2024,FriApr 12,12:30pm,USD,,Import Prices m/m,0.4%,0.3%,0.3%
,,2024,FriApr 12,2:00pm,USD,,Prelim UoM Consumer Sentiment,77.9,79.0,79.4
,,2024,FriApr 12,,USD,,Prelim UoM Inflation Expectations,3.1%,,2.9%
,,2024,FriApr 12,6:30pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,FriApr 12,7:30pm,USD,,FOMC Member Daly Speaks,,,
,,2024,MonApr 15,12:50am,JPY,,Core Machinery Orders m/m,7.7%,0.8%,-1.7%
,,2024,MonApr 15,,USD,,Core Retail Sales m/m,1.1%,0.5%,0.6%
,,2024,MonApr 15,,USD,,Empire State Manufacturing Index,-14.3,-5.2,-20.9
,,2024,MonApr 15,,USD,,Retail Sales m/m,0.7%,0.4%,0.9%
,,2024,MonApr 15,,USD,,FOMC Member Williams Speaks,,,
,,2024,MonApr 15,3:00pm,USD,,Business Inventories m/m,0.4%,0.3%,0.0%
,,2024,MonApr 15,,USD,,NAHB Housing Market Index,51,51,51
,,2024,TueApr 16,1:00am,USD,,FOMC Member Daly Speaks,,,
,,2024,TueApr 16,,USD,,Building Permits,1.46M,1.51M,1.52M
,,2024,TueApr 16,,USD,,Housing Starts,1.32M,1.48M,1.55M
,,2024,TueApr 16,2:00pm,USD,,FOMC Member Jefferson Speaks,,,
,,2024,TueApr 16,2:15pm,USD,,Industrial Production m/m,0.4%,0.4%,0.4%
,,2024,TueApr 16,,USD,,Capacity Utilization Rate,78.4%,78.5%,78.2%
,,2024,TueApr 16,5:30pm,USD,,FOMC Member Williams Speaks,,,
,,2024,TueApr 16,,USD,,FOMC Member Barkin Speaks,,,
,,2024,TueApr 16,,USD,,FOMC Member Powell Speaks,,,
,,2024,TueApr 16,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedApr 17,12:50am,JPY,,Trade Balance,-0.70T,-0.30T,-0.57T
,,2024,WedApr 17,3:30pm,USD,,Crude Oil Inventories,2.7M,1.6M,5.8M
,,2024,WedApr 17,,USD,,Beige Book,,,
,,2024,WedApr 17,9:00pm,USD,,TIC Long-Term Purchases,71.5B,40.2B,14.0B
,,2024,WedApr 17,10:30pm,USD,,FOMC Member Mester Speaks,,,
,,2024,WedApr 17,11:30pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,ThuApr 18,5:30am,JPY,,Tertiary Industry Activity m/m,1.5%,0.4%,-0.5%
,,2024,ThuApr 18,1:30pm,USD,,Unemployment Claims,212K,215K,212K
,,2024,ThuApr 18,,USD,,Philly Fed Manufacturing Index,15.5,1.5,3.2
,,2024,ThuApr 18,2:05pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,ThuApr 18,2:15pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,ThuApr 18,,USD,,FOMC Member Williams Speaks,,,
,,2024,ThuApr 18,3:00pm,USD,,Existing Home Sales,4.19M,4.20M,4.38M
,,2024,ThuApr 18,,USD,,CB Leading Index m/m,-0.3%,-0.1%,0.2%
,,2024,ThuApr 18,3:30pm,USD,,Natural Gas Storage,50B,54B,24B
,,2024,ThuApr 18,4:00pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,ThuApr 18,10:45pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,FriApr 19,12:30am,JPY,,National Core CPI y/y,2.6%,2.7%,2.8%
,,2024,FriApr 19,9:00pm,USD,,FOMC Financial Stability Report,,,
,,2024,TueApr 23,1:30am,JPY,,Flash Manufacturing PMI,49.9,48.0,48.2
,,2024,TueApr 23,6:00am,JPY,,BOJ Core CPI y/y,2.2%,2.3%,2.3%
,,2024,TueApr 23,2:45pm,USD,,Flash Manufacturing PMI,49.9,52.0,51.9
,,2024,TueApr 23,,USD,,Flash Services PMI,50.9,52.0,51.7
,,2024,TueApr 23,2:59pm,USD,,Richmond Manufacturing Index,-7,-7,-11
,,2024,TueApr 23,3:00pm,USD,,New Home Sales,693K,668K,637K
,,2024,TueApr 23,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedApr 24,12:50am,JPY,,SPPI y/y,2.3%,2.1%,2.2%
,,2024,WedApr 24,,USD,,Core Durable Goods Orders m/m,0.2%,0.3%,0.3%
,,2024,WedApr 24,,USD,,Durable Goods Orders m/m,2.6%,2.5%,1.3%
,,2024,WedApr 24,3:30pm,USD,,Crude Oil Inventories,-6.4M,1.6M,2.7M
,,2024,ThuApr 25,1:30pm,USD,,Advance GDP q/q,1.6%,2.5%,3.4%
,,2024,ThuApr 25,,USD,,Unemployment Claims,207K,214K,212K
,,2024,ThuApr 25,,USD,,Advance GDP Price Index q/q,3.1%,3.0%,1.6%
,,2024,ThuApr 25,,USD,,Goods Trade Balance,-91.8B,-91.1B,-90.3B
,,2024,ThuApr 25,,USD,,Prelim Wholesale Inventories m/m,-0.4%,0.2%,0.4%
,,2024,ThuApr 25,3:00pm,USD,,Pending Home Sales m/m,3.4%,0.3%,1.6%
,,2024,ThuApr 25,3:30pm,USD,,Natural Gas Storage,92B,87B,50B
,,2024,FriApr 26,12:30am,JPY,,Tokyo Core CPI y/y,1.6%,2.2%,2.4%
,,2024,FriApr 26,4:22am,JPY,,BOJ Outlook Report,,,
,,2024,FriApr 26,,JPY,,BOJ Policy Rate,<0.10%,<0.10%,<0.10%
,,2024,FriApr 26,,JPY,,Monetary Policy Statement,,,
,,2024,FriApr 26,7:30am,JPY,,BOJ Press Conference,,,
,,2024,FriApr 26,1:30pm,USD,,Core PCE Price Index m/m,0.3%,0.3%,0.3%
,,2024,FriApr 26,,USD,,Personal Income m/m,0.5%,0.5%,0.3%
,,2024,FriApr 26,,USD,,Personal Spending m/m,0.8%,0.6%,0.8%
,,2024,FriApr 26,3:00pm,USD,,Revised UoM Consumer Sentiment,77.2,77.9,77.9
,,2024,FriApr 26,,USD,,Revised UoM Inflation Expectations,3.2%,,3.1%
,,2024,MonApr 29,All Day,JPY,,Bank Holiday,,,
,,2024,TueApr 30,12:30am,JPY,,Unemployment Rate,2.6%,2.5%,2.6%
,,2024,TueApr 30,12:50am,JPY,,Prelim Industrial Production m/m,3.8%,3.4%,-0.6%
,,2024,TueApr 30,,JPY,,Retail Sales y/y,1.2%,2.5%,4.7%
,,2024,TueApr 30,6:00am,JPY,,Housing Starts y/y,-12.8%,-7.6%,-8.2%
,,2024,TueApr 30,,USD,,Employment Cost Index q/q,1.2%,1.0%,0.9%
,,2024,TueApr 30,2:00pm,USD,,S&P/CS Composite-20 HPI y/y,7.3%,6.7%,6.6%
,,2024,TueApr 30,,USD,,HPI m/m,1.2%,0.1%,-0.1%
,,2024,TueApr 30,2:45pm,USD,,Chicago PMI,37.9,44.9,41.4
,,2024,TueApr 30,3:00pm,USD,,CB Consumer Confidence,97.0,104.0,103.1
,,2024,TueApr 30,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedMay 1,1:30am,JPY,,Final Manufacturing PMI,49.6,49.9,49.9
,,2024,WedMay 1,1:15pm,USD,,ADP Non-Farm Employment Change,192K,179K,208K
,,2024,WedMay 1,2:45pm,USD,,Final Manufacturing PMI,50.0,49.9,49.9
,,2024,WedMay 1,3:00pm,USD,,ISM Manufacturing PMI,49.2,50.0,50.3
,,2024,WedMay 1,,USD,,JOLTS Job Openings,8.49M,8.68M,8.81M
,,2024,WedMay 1,,USD,,ISM Manufacturing Prices,60.9,55.5,55.8
,,2024,WedMay 1,,USD,,Construction Spending m/m,-0.2%,0.3%,0.0%
,,2024,WedMay 1,All Day,USD,,Omdia Total Vehicle Sales,15.7M,15.7M,15.5M
,,2024,WedMay 1,3:30pm,USD,,Crude Oil Inventories,7.3M,-2.3M,-6.4M
,,2024,WedMay 1,7:00pm,USD,,Federal Funds Rate,5.50%,5.50%,5.50%
,,2024,WedMay 1,,USD,,FOMC Statement,,,
,,2024,WedMay 1,7:30pm,USD,,FOMC Press Conference,,,
,,2024,ThuMay 2,12:50am,JPY,,Monetary Base y/y,2.1%,1.7%,1.6%
,,2024,ThuMay 2,,JPY,,Monetary Policy Meeting Minutes,,,
,,2024,ThuMay 2,5:59am,JPY,,Consumer Confidence,38.3,39.7,39.5
,,2024,ThuMay 2,12:30pm,USD,,Challenger Job Cuts y/y,-3.3%,,0.7%
,,2024,ThuMay 2,,USD,,Unemployment Claims,208K,212K,208K
,,2024,ThuMay 2,,USD,,Prelim Nonfarm Productivity q/q,0.3%,0.8%,3.5%
,,2024,ThuMay 2,,USD,,Prelim Unit Labor Costs q/q,4.7%,3.6%,0.4%
,,2024,ThuMay 2,,USD,,Trade Balance,-69.4B,-69.5B,-69.5B
,,2024,ThuMay 2,3:00pm,USD,,Factory Orders m/m,1.6%,1.6%,1.2%
,,2024,ThuMay 2,3:30pm,USD,,Natural Gas Storage,59B,68B,92B
,,2024,FriMay 3,All Day,JPY,,Bank Holiday,,,
,,2024,FriMay 3,1:30pm,USD,,Average Hourly Earnings m/m,0.2%,0.3%,0.3%
,,2024,FriMay 3,,USD,,Non-Farm Employment Change,175K,238K,315K
,,2024,FriMay 3,,USD,,Unemployment Rate,3.9%,3.8%,3.8%
,,2024,FriMay 3,2:45pm,USD,,Final Services PMI,51.3,50.9,50.9
,,2024,FriMay 3,,USD,,FOMC Member Bowman Speaks,,,
,,2024,FriMay 3,3:00pm,USD,,ISM Services PMI,49.4,52.0,51.4
,,2024,SatMay 4,1:15am,USD,,FOMC Member Williams Speaks,,,
,,2024,SatMay 4,2:20pm,USD,,FOMC Member Cook Speaks,,,
,,2024,MonMay 6,All Day,JPY,,Bank Holiday,,,
,,2024,MonMay 6,5:50pm,USD,,FOMC Member Barkin Speaks,,,
,,2024,MonMay 6,6:00pm,USD,,FOMC Member Williams Speaks,,,
,,2024,MonMay 6,7:00pm,USD,,Loan Officer Survey,,,
,,2024,TueMay 7,3:06pm,USD,,RCM/TIPP Economic Optimism,41.8,44.1,43.2
,,2024,TueMay 7,8:00pm,USD,,Consumer Credit m/m,6.3B,14.8B,15.0B
,,2024,TueMay 7,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedMay 8,4:35am,JPY,,10-y Bond Auction,0.86|3.2,,0.75|3.8
,,2024,WedMay 8,3:00pm,USD,,Final Wholesale Inventories m/m,-0.4%,-0.4%,-0.4%
,,2024,WedMay 8,3:30pm,USD,,Crude Oil Inventories,-1.4M,-1.0M,7.3M
,,2024,WedMay 8,4:00pm,USD,,FOMC Member Jefferson Speaks,,,
,,2024,WedMay 8,6:01pm,USD,,10-y Bond Auction,4.48|2.5,,4.56|2.3
,,2024,WedMay 8,6:30pm,USD,,FOMC Member Cook Speaks,,,
,,2024,ThuMay 9,12:30am,JPY,,Average Cash Earnings y/y,0.6%,1.5%,1.4%
,,2024,ThuMay 9,12:50am,JPY,,BOJ Summary of Opinions,,,
,,2024,ThuMay 9,6:00am,JPY,,Leading Indicators,111.4%,111.3%,112.1%
,,2024,ThuMay 9,1:30pm,USD,,Unemployment Claims,231K,212K,209K
,,2024,ThuMay 9,3:30pm,USD,,Natural Gas Storage,79B,87B,59B
,,2024,ThuMay 9,6:01pm,USD,,30-y Bond Auction,4.64|2.4,,4.67|2.4
,,2024,ThuMay 9,7:00pm,USD,,FOMC Member Daly Speaks,,,
,,2024,FriMay 10,12:30am,JPY,,Household Spending y/y,-1.2%,-2.3%,-0.5%
,,2024,FriMay 10,12:50am,JPY,,Bank Lending y/y,3.1%,3.1%,3.2%
,,2024,FriMay 10,,JPY,,Current Account,2.01T,2.04T,1.41T
,,2024,FriMay 10,4:35am,JPY,,30-y Bond Auction,1.99|3.2,,1.81|3.5
,,2024,FriMay 10,6:00am,JPY,,Economy Watchers Sentiment,47.4,50.4,49.8
,,2024,FriMay 10,2:00pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,FriMay 10,3:00pm,USD,,Prelim UoM Consumer Sentiment,67.4,76.3,77.2
,,2024,FriMay 10,,USD,,Prelim UoM Inflation Expectations,3.5%,,3.2%
,,2024,FriMay 10,6:30pm,USD,,FOMC Member Barr Speaks,,,
,,2024,FriMay 10,7:00pm,USD,,Federal Budget Balance,209.5B,244.5B,-236.5B
,,2024,MonMay 13,12:50am,JPY,,M2 Money Stock y/y,2.2%,2.5%,2.5%
,,2024,MonMay 13,2:00pm,USD,,FOMC Member Jefferson Speaks,,,
,,2024,MonMay 13,,USD,,FOMC Member Mester Speaks,,,
,,2024,MonMay 13,2:45pm,USD,,Cleveland Fed Inflation Expectations,3.8%,,3.4%
,,2024,TueMay 14,12:50am,JPY,,PPI y/y,0.9%,0.9%,0.9%
,,2024,TueMay 14,6:58am,JPY,,Prelim Machine Tool Orders y/y,-11.6%,,-3.8%
,,2024,TueMay 14,11:00am,USD,,NFIB Small Business Index,89.7,88.1,88.5
,,2024,TueMay 14,,USD,,Core PPI m/m,0.5%,0.2%,-0.1%
,,2024,TueMay 14,,USD,,PPI m/m,0.5%,0.3%,-0.1%
,,2024,TueMay 14,2:10pm,USD,,FOMC Member Cook Speaks,,,
,,2024,TueMay 14,3:00pm,USD,,FOMC Member Powell Speaks,,,
,,2024,TueMay 14,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedMay 15,,USD,,Core CPI m/m,0.3%,0.3%,0.4%
,,2024,WedMay 15,,USD,,Core CPI y/y,3.6%,3.6%,3.8%
,,2024,WedMay 15,,USD,,Core Retail Sales m/m,0.2%,0.2%,0.9%
,,2024,WedMay 15,,USD,,CPI m/m,0.3%,0.4%,0.4%
,,2024,WedMay 15,,USD,,CPI y/y,3.4%,3.4%,3.5%
,,2024,WedMay 15,,USD,,Empire State Manufacturing Index,-15.6,-9.9,-14.3
,,2024,WedMay 15,,USD,,Retail Sales m/m,0.0%,0.4%,0.6%
,,2024,WedMay 15,3:00pm,USD,,Business Inventories m/m,-0.1%,0.0%,0.3%
,,2024,WedMay 15,,USD,,FOMC Member Barr Speaks,,,
,,2024,WedMay 15,,USD,,NAHB Housing Market Index,45,51,51
,,2024,WedMay 15,,USD,,Crude Oil Inventories,-2.5M,-0.4M,-1.4M
,,2024,WedMay 15,8:20pm,USD,,FOMC Member Bowman Speaks,,,
,,2024,WedMay 15,9:00pm,USD,,TIC Long-Term Purchases,100.5B,89.3B,62.9B
,,2024,ThuMay 16,12:50am,JPY,,Prelim GDP q/q,-0.5%,-0.3%,0.1%
,,2024,ThuMay 16,,JPY,,Prelim GDP Price Index y/y,3.6%,3.3%,3.9%
,,2024,ThuMay 16,5:30am,JPY,,Revised Industrial Production m/m,4.4%,3.4%,3.8%
,,2024,ThuMay 16,1:30pm,USD,,Unemployment Claims,222K,219K,232K
,,2024,ThuMay 16,,USD,,Building Permits,1.44M,1.48M,1.49M
,,2024,ThuMay 16,,USD,,Philly Fed Manufacturing Index,4.5,7.7,15.5
,,2024,ThuMay 16,,USD,,Housing Starts,1.36M,1.42M,1.29M
,,2024,ThuMay 16,,USD,,Import Prices m/m,0.9%,0.2%,0.6%
,,2024,ThuMay 16,2:15pm,USD,,Industrial Production m/m,0.0%,0.1%,0.1%
,,2024,ThuMay 16,,USD,,Capacity Utilization Rate,78.4%,78.4%,78.5%
,,2024,ThuMay 16,3:00pm,USD,,FOMC Member Barr Speaks,,,
,,2024,ThuMay 16,3:23pm,USD,,Mortgage Delinquencies,3.94%,,3.88%
,,2024,ThuMay 16,3:30pm,USD,,Natural Gas Storage,70B,76B,79B
,,2024,ThuMay 16,5:00pm,USD,,FOMC Member Mester Speaks,,,
,,2024,ThuMay 16,8:50pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,FriMay 17,3:00pm,USD,,CB Leading Index m/m,-0.6%,-0.3%,-0.3%
,,2024,FriMay 17,3:15pm,USD,,FOMC Member Waller Speaks,,,
,,2024,FriMay 17,5:15pm,USD,,FOMC Member Daly Speaks,,,
,,2024,SatMay 18,10:45pm,USD,,FOMC Member Kugler Speaks,,,
,,2024,SunMay 19,8:30pm,USD,,FOMC Member Powell Speaks,,,
,,2024,MonMay 20,5:30am,JPY,,Tertiary Industry Activity m/m,-2.4%,0.1%,2.2%
,,2024,MonMay 20,12:30pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,MonMay 20,1:45pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,MonMay 20,2:00pm,USD,,FOMC Member Waller Speaks,,,
,,2024,MonMay 20,,USD,,FOMC Member Barr Speaks,,,
,,2024,MonMay 20,3:30pm,USD,,FOMC Member Jefferson Speaks,,,
,,2024,MonMay 20,7:00pm,USD,,FOMC Member Mester Speaks,,,
,,2024,TueMay 21,,USD,,Treasury Sec Yellen Speaks,,,
,,2024,TueMay 21,2:00pm,USD,,FOMC Member Waller Speaks,,,
,,2024,TueMay 21,,USD,,FOMC Member Barkin Speaks,,,
,,2024,TueMay 21,2:05pm,USD,,FOMC Member Williams Speaks,,,
,,2024,TueMay 21,2:10pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,TueMay 21,4:45pm,USD,,FOMC Member Barr Speaks,,,
,,2024,TueMay 21,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,WedMay 22,12:00am,USD,,FOMC Member Mester Speaks,,,
,,2024,WedMay 22,12:50am,JPY,,Core Machinery Orders m/m,2.9%,-1.8%,7.7%
,,2024,WedMay 22,,JPY,,Trade Balance,-0.56T,-0.72T,-0.68T
,,2024,WedMay 22,3:00pm,USD,,Existing Home Sales,4.14M,4.21M,4.22M
,,2024,WedMay 22,3:30pm,USD,,Crude Oil Inventories,1.8M,-2.4M,-2.5M
,,2024,WedMay 22,7:00pm,USD,,FOMC Meeting Minutes,,,
,,2024,ThuMay 23,1:30am,JPY,,Flash Manufacturing PMI,50.5,49.7,49.6
,,2024,ThuMay 23,,USD,,Unemployment Claims,215K,220K,223K
,,2024,ThuMay 23,2:45pm,USD,,Flash Manufacturing PMI,50.9,50.0,50.0
,,2024,ThuMay 23,,USD,,Flash Services PMI,54.8,51.2,51.3
,,2024,ThuMay 23,,USD,,New Home Sales,634K,677K,665K
,,2024,ThuMay 23,3:30pm,USD,,Natural Gas Storage,78B,84B,70B
,,2024,ThuMay 23,8:00pm,USD,,FOMC Member Bostic Speaks,,,
,,2024,FriMay 24,12:30am,JPY,,National Core CPI y/y,2.2%,2.2%,2.6%
,,2024,FriMay 24,,USD,,Core Durable Goods Orders m/m,0.4%,0.1%,0.0%
,,2024,FriMay 24,,USD,,Durable Goods Orders m/m,0.7%,-0.9%,0.9%
,,2024,FriMay 24,2:35pm,USD,,FOMC Member Waller Speaks,,,
,,2024,FriMay 24,3:00pm,USD,,Revised UoM Consumer Sentiment,69.1,67.8,67.4
,,2024,FriMay 24,,USD,,Revised UoM Inflation Expectations,3.3%,,3.5%
,,2024,MonMay 27,1:05am,JPY,,BOJ Gov Ueda Speaks,,,
,,2024,MonMay 27,All Day,USD,,Bank Holiday,,,
,,2024,TueMay 28,12:50am,JPY,,SPPI y/y,2.8%,2.3%,2.4%
,,2024,TueMay 28,,USD,,FOMC Member Bowman Speaks,,,
,,2024,TueMay 28,,USD,,FOMC Member Mester Speaks,,,
,,2024,TueMay 28,6:00am,JPY,,BOJ Core CPI y/y,1.8%,2.2%,2.2%
,,2024,TueMay 28,2:00pm,USD,,S&P/CS Composite-20 HPI y/y,7.4%,7.3%,7.3%
,,2024,TueMay 28,,USD,,HPI m/m,0.1%,0.5%,1.2%
,,2024,TueMay 28,3:00pm,USD,,CB Consumer Confidence,102.0,96.0,97.5
,,2024,TueMay 28,6:05pm,USD,,FOMC Member Cook Speaks,,,
,,2024,TueMay 28,,USD,,FOMC Member Daly Speaks,,,
,,2024,WedMay 29,5:59am,JPY,,Consumer Confidence,36.2,39.1,38.3
,,2024,WedMay 29,2:59pm,USD,,Richmond Manufacturing Index,0,-6,-7
,,2024,WedMay 29,6:45pm,USD,,FOMC Member Williams Speaks,,,
,,2024,WedMay 29,7:00pm,USD,,Beige Book,,,
,,2024,WedMay 29,9:30pm,USD,,API Weekly Statistical Bulletin,,,
,,2024,ThuMay 30,12:00am,USD,,FOMC Member Bostic Speaks,,,
,,2024,ThuMay 30,,USD,,Prelim GDP q/q,1.3%,1.2%,1.6%
,,2024,ThuMay 30,,USD,,Unemployment Claims,219K,218K,216K
,,2024,ThuMay 30,,USD,,Prelim GDP Price Index q/q,3.0%,3.1%,3.1%
,,2024,ThuMay 30,,USD,,Goods Trade Balance,-99.4B,-91.9B,-92.3B
,,2024,ThuMay 30,,USD,,Prelim Wholesale Inventories m/m,0.2%,0.0%,-0.4%
,,2024,ThuMay 30,3:00pm,USD,,Pending Home Sales m/m,-7.7%,-1.1%,3.6%
,,2024,ThuMay 30,3:30pm,USD,,Natural Gas Storage,84B,77B,78B
,,2024,ThuMay 30,4:00pm,USD,,Crude Oil Inventories,-4.2M,-1.6M,1.8M
,,2024,ThuMay 30,5:05pm,USD,,FOMC Member Williams Speaks,,,
,,2024,FriMay 31,12:30am,JPY,,Tokyo Core CPI y/y,1.9%,1.9%,1.6%
,,2024,FriMay 31,,JPY,,Unemployment Rate,2.6%,2.6%,2.6%
,,2024,FriMay 31,12:50am,JPY,,Prelim Industrial Production m/m,-0.1%,1.5%,4.4%
,,2024,FriMay 31,,JPY,,Retail Sales y/y,2.4%,1.8%,1.1%
,,2024,FriMay 31,6:00am,JPY,,Housing Starts y/y,13.9%,-0.2%,-12.8%
,,2024,FriMay 31,,USD,,Core PCE Price Index m/m,0.2%,0.3%,0.3%
,,2024,FriMay 31,,USD,,Personal Income m/m,0.3%,0.3%,0.5%
,,2024,FriMay 31,,USD,,Personal Spending m/m,0.2%,0.3%,0.7%
,,2024,FriMay 31,2:45pm,USD,,Chicago PMI,35.4,41.1,37.9
