iter	Passed	Remaining
400	19030	4698
401	19072	4649
402	19114	4600
403	19160	4553
404	19201	4504
405	19241	4455
406	19283	4406
407	19323	4357
408	19363	4308
409	19405	4259
410	19450	4211
411	19490	4163
412	19531	4114
413	19572	4065
414	19612	4017
415	19652	3968
416	19695	3920
417	19740	3872
418	19785	3824
419	19827	3776
420	19869	3728
421	19912	3680
422	19954	3632
423	20002	3585
424	20044	3537
425	20087	3489
426	20128	3441
427	20173	3393
428	20222	3346
429	20271	3300
430	20316	3252
431	20365	3205
432	20408	3157
433	20453	3110
434	20500	3063
435	20544	3015
436	20588	2968
437	20631	2920
438	20673	2872
439	20717	2825
440	20759	2777
441	20802	2729
442	20844	2682
443	20925	2639
444	21000	2595
445	21048	2548
446	21089	2500
447	21130	2452
448	21171	2404
449	21212	2356
450	21254	2309
451	21293	2261
452	21333	2213
453	21374	2165
454	21416	2118
455	21456	2070
456	21497	2022
457	21539	1975
458	21580	1927
459	21621	1880
460	21664	1832
461	21709	1785
462	21759	1738
463	21801	1691
464	21843	1644
465	21885	1596
466	21928	1549
467	21970	1502
468	22012	1454
469	22053	1407
470	22092	1360
471	22132	1312
472	22172	1265
473	22213	1218
474	22253	1171
475	22292	1124
476	22334	1076
477	22374	1029
478	22415	982
479	22456	935
480	22496	888
481	22537	841
482	22577	794
483	22617	747
484	22656	700
485	22699	653
486	22738	606
487	22779	560
488	22821	513
489	22862	466
490	22904	419
491	22946	373
492	22989	326
493	23028	279
494	23068	233
495	23106	186
496	23146	139
497	23184	93
498	23225	46
499	23265	0
