iter	RMSE
380	0.8415295977
381	0.8412001309
382	0.8405380696
383	0.8401859991
384	0.8392366339
385	0.8388725146
386	0.8374785358
387	0.8370477757
388	0.8366562383
389	0.8362712996
390	0.835931545
391	0.8355669646
392	0.834923862
393	0.8345476891
394	0.8342019607
395	0.8334925703
396	0.8331634079
397	0.8328175919
398	0.8324566786
399	0.8301000631
400	0.8297698321
401	0.8294342673
402	0.8290681438
403	0.8284107203
404	0.8278427163
405	0.8275015595
406	0.826579148
407	0.82620507
408	0.8255137152
409	0.8251821979
410	0.8248396059
411	0.8244947346
412	0.8220118576
413	0.8214963901
414	0.821176491
415	0.8203899726
416	0.819431596
417	0.8190847926
418	0.8184733264
419	0.8178439746
420	0.815975607
421	0.8156149017
422	0.8152713882
423	0.8149312849
424	0.8145948978
425	0.8141007366
426	0.8137547859
427	0.8134086942
428	0.8130877575
429	0.8127623975
430	0.8121473104
431	0.8118341376
432	0.811509236
433	0.8099593056
434	0.8096235027
435	0.8092686557
436	0.8069248607
437	0.8066122346
438	0.8062734998
439	0.8058097185
440	0.8054701047
441	0.8051332468
442	0.8048157551
443	0.8044920612
444	0.8041660075
445	0.8038208415
446	0.80351118
447	0.8017080679
448	0.801045277
449	0.8003960135
450	0.8001120797
451	0.7991474466
452	0.7962972209
453	0.7959696043
454	0.7954825374
455	0.7951548427
456	0.7945393401
457	0.7939206401
458	0.7933636858
459	0.792829265
460	0.7925079146
461	0.7921892612
462	0.7915502028
463	0.7912446771
464	0.7909295421
465	0.7882458746
466	0.7876557826
467	0.7873527253
468	0.7870398035
469	0.7861405806
470	0.7858197071
471	0.7854725098
472	0.7847311018
473	0.7838856841
474	0.7833031012
475	0.7816508925
476	0.781341562
477	0.7810269722
478	0.7807143017
479	0.7803835726
480	0.7792634604
481	0.7788770947
482	0.778573657
483	0.7782712331
484	0.7779729639
485	0.7761039884
486	0.7753902575
487	0.7750959205
488	0.7747992543
489	0.7745095941
490	0.7742322101
491	0.7739442189
492	0.7736188944
493	0.7730986886
494	0.7728080903
495	0.7714584607
496	0.7711663553
497	0.7700170017
498	0.7697499643
499	0.7691571207
